"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"307",13,"New England Patriots",NE,"63","0","0","0","0","0","0","0","0"
"308",13,"Gabe Davis",FA,"53.9","0","0","20","239","2","0","0","0"
"309",13,"Shedeur Sanders",CLE,"0","0","0","0","0","0","0","0","0"
"310",13,"Tez Johnson",TB,"0","0","0","0","0","0","0","0","0"
"311",13,"Chris Brooks",GB,"42.2","0","0","11","69","0","36","183","1"
"312",13,"Damien Martinez",SEA,"0","0","0","0","0","0","0","0","0"
"313",13,"Tyler Higbee",LAR,"26.6","0","0","8","66","2","0","0","0"
"314",13,"Oronde Gadsden II",LAC,"0","0","0","0","0","0","0","0","0"
"315",13,"Emanuel Wilson",GB,"96","0","0","11","48","1","103","502","4"
"316",13,"Ty Chandler",MIN,"28.4","0","0","6","42","0","56","182","0"
"317",13,"Tyler Loop",BAL,"0","0","0","0","0","0","0","0","0"
"318",14,"Arizona Cardinals",ARI,"101","0","0","0","0","0","0","0","0"
"319",14,"Zack Moss",FA,"81.9","0","0","23","187","1","74","242","2"
"320",14,"Tutu Atwell",LAR,"98.9","0","0","42","562","0","2","7","0"
"321",14,"Phil Mafah",DAL,"0","0","0","0","0","0","0","0","0"
"322",14,"Raheim Sanders",LAC,"0","0","0","0","0","0","0","0","0"
"323",14,"Chris Rodriguez Jr.",WAS,"31.5","0","0","1","12","0","35","173","2"
"324",14,"Jason Myers",SEA,"140","0","0","0","0","0","0","0","0"
"325",14,"Will Dissly",LAC,"110.1","0","0","50","481","2","0","0","0"
"326",14,"Ray-Ray McCloud III",ATL,"140.5","0","0","62","686","1","10","79","0"
"327",14,"Zamir White",LV,"29.3","0","0","6","30","0","65","183","1"
"328",14,"Ben Sinnott",WAS,"13.8","0","0","5","28","1","0","0","0"
"329",14,"Tyler Conklin",LAC,"121.9","0","0","51","449","4","1","0","0"
"330",14,"Josh Reynolds",NYJ,"38.4","0","0","13","194","1","0","0","0"
"331",14,"Miami Dolphins",MIA,"84","0","0","0","0","0","0","0","0"
"332",14,"Jordan Whittington",LAR,"52.5","0","0","22","293","0","2","12","0"
"333",14,"Demarcus Robinson",SF,"123.5","0","0","31","505","7","0","0","0"
"334",14,"Samaje Perine",CIN,"81.4","0","0","28","322","1","20","92","1"
"335",14,"A.J. Dillon",PHI,"0","0","0","0","0","0","0","0","0"
"336",14,"Noah Brown",WAS,"86.3","0","0","35","453","1","0","0","0"
"337",14,"Jalen Milroe",SEA,"0","0","0","0","0","0","0","0","0"
"338",14,"Tai Felton",MIN,"0","0","0","0","0","0","0","0","0"
"339",14,"John Metchie III",HOU,"55.4","0","0","24","254","1","0","0","0"
